0,0,0,1,4,1.0E-4,0.041299999999999996,0.041199999999999994
1,0,1,1,4,0.0201,0.06090000000000002,0.04080000000000002
2,0,2,1,4,0.040100000000000004,0.08130000000000001,0.04120000000000001
4,0,4,0,5,0.0801,0.12090000000000002,0.04080000000000002
5,0,5,0,4,0.10010000000000001,0.14089999999999997,0.04079999999999996
7,0,7,1,4,0.1401,0.18089999999999992,0.04079999999999992
6,1,6,2,5,0.12010000000000001,0.18129999999999993,0.06119999999999992
8,1,8,2,4,0.1601,0.22129999999999989,0.06119999999999989
12,0,12,0,4,0.24009999999999995,0.28089999999999987,0.04079999999999992
11,1,11,2,5,0.22009999999999996,0.2812999999999999,0.06119999999999992
18,0,18,1,5,0.36010000000000003,0.4009,0.04079999999999995
3,1,3,2,3,0.0601,0.421319073486328,0.36121907348632804
19,1,19,0,4,0.38010000000000005,0.44129999999999997,0.06119999999999992
22,0,22,2,4,0.4401000000000001,0.48090000000000005,0.04079999999999995
21,1,21,1,5,0.4201000000000001,0.4813,0.06119999999999992
9,0,9,1,3,0.18009999999999998,0.520919073486328,0.34081907348632806
23,1,23,0,4,0.4601000000000001,0.5313,0.07119999999999987
10,0,10,2,3,0.20009999999999997,0.5409190734863281,0.3408190734863281
24,1,24,2,4,0.48010000000000014,0.5513,0.07119999999999987
25,1,25,1,4,0.5001000000000001,0.5713,0.07119999999999993
26,1,26,2,4,0.5201000000000001,0.5913,0.07119999999999993
28,0,28,1,4,0.5601000000000002,0.6009000000000001,0.04079999999999995
14,0,14,0,3,0.28009999999999996,0.620919073486328,0.34081907348632806
13,1,13,0,3,0.26009999999999994,0.6221190734863279,0.36201907348632795
29,1,29,0,5,0.5801000000000002,0.6421,0.06199999999999983
15,1,15,0,3,0.3001,0.671319073486328,0.37121907348632804
31,1,31,0,5,0.6201000000000002,0.6813000000000001,0.06119999999999992
16,1,16,0,3,0.3201,0.6821190734863279,0.36201907348632795
32,1,32,1,5,0.6401000000000002,0.7021000000000001,0.06199999999999983
17,1,17,0,3,0.3401,0.7113190734863281,0.37121907348632804
34,0,34,0,5,0.6801000000000003,0.7209000000000002,0.04079999999999995
20,0,20,1,3,0.40010000000000007,0.7409190734863281,0.34081907348632806
36,0,36,1,5,0.7201000000000003,0.7609000000000002,0.04079999999999995
35,1,35,1,5,0.7001000000000003,0.7613000000000002,0.06119999999999992
38,0,38,1,5,0.7601000000000003,0.8009000000000003,0.04079999999999995
41,0,41,1,4,0.8201000000000004,0.8609000000000003,0.04079999999999995
40,1,40,0,5,0.8001000000000004,0.8613000000000003,0.06119999999999992
42,0,42,0,5,0.8401000000000004,0.8809000000000003,0.04079999999999995
27,1,27,2,3,0.5401000000000001,0.9013190734863282,0.3612190734863281
44,0,44,0,4,0.8801000000000004,0.9209000000000004,0.04079999999999995
43,1,43,1,5,0.8601000000000004,0.9213000000000003,0.06119999999999992
45,0,45,2,5,0.9001000000000005,0.9409000000000004,0.04079999999999995
30,1,30,2,3,0.6001000000000002,0.9613190734863283,0.3612190734863281
47,1,47,1,4,0.9401000000000005,1.0013000000000003,0.06119999999999981
49,0,49,0,5,0.9801000000000005,1.0209000000000004,0.040799999999999836
33,1,33,2,3,0.6601000000000002,1.0213190734863282,0.361219073486328
50,1,50,1,5,1.0001000000000004,1.0613000000000004,0.06119999999999992
52,0,52,0,4,1.0401000000000005,1.0809000000000004,0.04079999999999995
37,0,37,2,3,0.7401000000000003,1.0809190734863283,0.340819073486328
51,1,51,1,5,1.0201000000000005,1.0813000000000004,0.06119999999999992
54,1,54,2,4,1.0801000000000005,1.1413000000000004,0.06119999999999992
39,1,39,2,3,0.7801000000000003,1.1413190734863283,0.361219073486328
56,0,56,0,5,1.1201000000000005,1.1609000000000005,0.04079999999999995
55,1,55,2,4,1.1001000000000005,1.1613000000000004,0.06119999999999992
58,0,58,2,4,1.1601000000000006,1.2009000000000005,0.04079999999999995
60,1,60,2,5,1.2001000000000006,1.2613000000000005,0.06119999999999992
46,1,46,1,3,0.9201000000000005,1.2813190734863285,0.361219073486328
61,1,61,2,4,1.2201000000000006,1.2821000000000005,0.06199999999999983
